Species	Voucher	Gene	Reason
Ophiocordyceps macroacicularis	NBRC:100685	LSU	no voucher match
Ophiocordyceps macroacicularis	NBRC:100685	TEF	no voucher match
Ophiocordyceps macroacicularis	NBRC:100685	RPB1	no voucher match
Ophiocordyceps macroacicularis	NBRC:100685	RPB2	no voucher match
Ophiocordyceps macroacicularis	NBRC:105888	ITS	no voucher match
Ophiocordyceps macroacicularis	NBRC:105888	SSU	no voucher match
Ophiocordyceps macroacicularis	NBRC:105888	RPB1	no voucher match
Ophiocordyceps megacuculla	BCC82258	ITS	no voucher match
Ophiocordyceps megacuculla	BCC82258	SSU	no voucher match
Ophiocordyceps melolonthae	iNAT:13875275	TEF	no voucher match
Ophiocordyceps melolonthae	iNAT:13875275	RPB1	no voucher match
Ophiocordyceps melolonthae	iNAT:13875275	RPB2	no voucher match
Ophiocordyceps melolonthae	OSC 110993	ITS	no voucher match
Ophiocordyceps melolonthae	OSC 110993	RPB2	no voucher match
Ophiocordyceps mizoramensis	OCCMZ001	ITS	no voucher match
Ophiocordyceps mizoramensis	OCCMZ001	RPB1	no voucher match
Ophiocordyceps mizoramensis	OCCMZ001	RPB2	no voucher match
Ophiocordyceps monacidis	MF74	ITS	no voucher match
Ophiocordyceps monacidis	MF74	TEF	no voucher match
Ophiocordyceps monacidis	MF74	RPB2	no voucher match
Ophiocordyceps multiperitheciata	BCC22861	ITS	no voucher match
Ophiocordyceps multiperitheciata	BCC22861	SSU	no voucher match
Ophiocordyceps muscae	BBC73607	ITS	no voucher match
Ophiocordyceps muscae	BBC73607	SSU	no voucher match
Ophiocordyceps muscae	BBC73607	TEF	no voucher match
Ophiocordyceps muscae	BBC73607	RPB1	no voucher match
Ophiocordyceps muscae	BBC73607	RPB2	no voucher match
Ophiocordyceps muscae	BCC73607	ITS	no voucher match
Ophiocordyceps muscae	BCC73607	SSU	no voucher match
Ophiocordyceps muscae	BCC73607	LSU	no voucher match
Ophiocordyceps muscae	BCC73607	RPB1	no voucher match
Ophiocordyceps muscae	BCC73616	SSU	no voucher match
Ophiocordyceps muscae	BCC73616	LSU	no voucher match
Ophiocordyceps muscae	BCC73616	TEF	no voucher match
Ophiocordyceps muscae	BCC73616	RPB1	no voucher match
Ophiocordyceps muscae	BCC73616	RPB2	no voucher match
Ophiocordyceps muscae	GMB 3136	ITS	no voucher match
Ophiocordyceps muscae	GMB 3136	LSU	no voucher match
Ophiocordyceps muscae	GMB 3136	TEF	no voucher match
Ophiocordyceps muscae	GMB 3136	RPB1	no voucher match
